global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
78,1,2,7800,39695,2.7047,2.7047,0.0,0.00048937,74.0
79,1,2,7900,39695,2.7217,2.7217,0.0,0.00048909,74.0
80,1,2,8000,39695,2.6305,2.6305,0.0,0.00048882,74.0
81,1,2,8100,39695,2.5548,2.5548,0.0,0.00048854,74.0
82,1,2,8200,39695,2.7308,2.7308,0.0,0.00048826,73.0
83,1,2,8300,39695,2.4412,2.4412,0.0,0.00048797,73.0
84,1,2,8400,39695,2.6943,2.6943,0.0,0.00048768,73.0
85,1,2,8500,39695,2.7392,2.7392,0.0,0.00048739,73.0
86,1,2,8600,39695,2.4516,2.4516,0.0,0.0004871,72.0
87,1,2,8700,39695,2.9011,2.9011,0.0,0.0004868,72.0
88,1,2,8800,39695,2.6679,2.6679,0.0,0.0004865,72.0
89,1,2,8900,39695,2.4117,2.4117,0.0,0.00048619,72.0
90,1,2,9000,39695,2.5797,2.5797,0.0,0.00048588,71.0
91,1,2,9100,39695,2.4824,2.4824,0.0,0.00048557,71.0
92,1,2,9200,39695,2.8129,2.8129,0.0,0.00048525,71.0
93,1,2,9300,39695,2.4876,2.4876,0.0,0.00048493,71.0
94,1,2,9400,39695,2.5906,2.5906,0.0,0.00048461,71.0
95,1,2,9500,39695,2.3998,2.3998,0.0,0.00048429,70.0
96,1,2,9600,39695,2.5387,2.5387,0.0,0.00048396,70.0
97,1,2,9700,39695,2.6674,2.6674,0.0,0.00048363,70.0
98,1,2,9800,39695,2.5135,2.5135,0.0,0.00048329,70.0
99,1,2,9900,39695,2.3319,2.3319,0.0,0.00048295,69.0
100,1,2,10000,39695,2.3502,2.3502,0.0,0.00048261,69.0
101,1,2,10100,39695,2.3752,2.3752,0.0,0.00048227,69.0
102,1,2,10200,39695,2.3342,2.3342,0.0,0.00048192,69.0
103,1,2,10300,39695,2.5304,2.5304,0.0,0.00048157,68.0
104,1,2,10400,39695,2.4309,2.4309,0.0,0.00048121,68.0
105,1,2,10500,39695,2.4244,2.4244,0.0,0.00048086,68.0
106,1,2,10600,39695,2.4531,2.4531,0.0,0.00048049,68.0
107,1,2,10700,39695,2.2804,2.2804,0.0,0.00048013,68.0
108,1,2,10800,39695,2.4567,2.4567,0.0,0.00047976,67.0
109,1,2,10900,39695,2.3279,2.3279,0.0,0.00047939,67.0
110,1,2,11000,39695,2.2851,2.2851,0.0,0.00047902,67.0
111,1,2,11100,39695,2.5713,2.5713,0.0,0.00047864,67.0
112,1,2,11200,39695,2.5764,2.5764,0.0,0.00047826,66.0
113,1,2,11300,39695,2.3911,2.3911,0.0,0.00047788,66.0
114,1,2,11400,39695,2.5235,2.5235,0.0,0.00047749,66.0
115,1,2,11500,39695,2.3819,2.3819,0.0,0.0004771,66.0
116,1,2,11600,39695,2.4018,2.4018,0.0,0.00047671,65.0
117,1,2,11700,39695,2.6582,2.6582,0.0,0.00047631,65.0
118,1,2,11800,39695,2.3662,2.3662,0.0,0.00047591,65.0
119,1,2,11900,39695,2.5268,2.5268,0.0,0.00047551,65.0
120,1,2,12000,39695,2.4211,2.4211,0.0,0.00047511,64.0
121,1,2,12100,39695,2.4819,2.4819,0.0,0.0004747,64.0
122,1,2,12200,39695,2.5638,2.5638,0.0,0.00047428,64.0
123,1,2,12300,39695,2.4925,2.4925,0.0,0.00047387,64.0
124,1,2,12400,39695,2.3082,2.3082,0.0,0.00047345,64.0
125,1,2,12500,39695,2.6741,2.6741,0.0,0.00047303,63.0
126,1,2,12600,39695,2.3586,2.3586,0.0,0.00047261,63.0
127,1,2,12700,39695,2.3763,2.3763,0.0,0.00047218,63.0
128,1,2,12800,39695,2.3199,2.3199,0.0,0.00047175,63.0
129,1,2,12900,39695,2.4246,2.4246,0.0,0.00047132,62.0
130,1,2,13000,39695,2.3224,2.3224,0.0,0.00047088,62.0
131,1,2,13100,39695,2.3185,2.3185,0.0,0.00047044,62.0
132,1,2,13200,39695,2.415,2.415,0.0,0.00047,62.0
133,1,2,13300,39695,2.6117,2.6117,0.0,0.00046955,61.0
134,1,2,13400,39695,2.5596,2.5596,0.0,0.0004691,61.0
135,1,2,13500,39695,2.4738,2.4738,0.0,0.00046865,61.0
136,1,2,13600,39695,2.5712,2.5712,0.0,0.0004682,61.0
137,1,2,13700,39695,2.4355,2.4355,0.0,0.00046774,60.0
138,1,2,13800,39695,2.4292,2.4292,0.0,0.00046728,60.0
139,1,2,13900,39695,2.2964,2.2964,0.0,0.00046681,60.0
140,1,2,14000,39695,2.4014,2.4014,0.0,0.00046635,60.0
141,1,2,14100,39695,2.3399,2.3399,0.0,0.00046588,60.0
