Model Params: 63.91M
Trainable Params: 63.912M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 70908 examples [00:00, 573980.48 examples/s]Generating train split: 200536 examples [00:00, 857634.91 examples/s]Generating train split: 355104 examples [00:00, 1074933.92 examples/s]Generating train split: 477003 examples [00:00, 1082982.70 examples/s]Generating train split: 623860 examples [00:00, 875837.59 examples/s] Generating train split: 739828 examples [00:00, 738782.38 examples/s]Generating train split: 846090 examples [00:01, 637582.16 examples/s]Generating train split: 936093 examples [00:01, 616567.32 examples/s]Generating train split: 1002786 examples [00:01, 621149.77 examples/s]Generating train split: 1069171 examples [00:01, 454568.32 examples/s]Generating train split: 1155234 examples [00:01, 398623.31 examples/s]Generating train split: 1232066 examples [00:02, 416567.76 examples/s]Generating train split: 1270238 examples [00:02, 582367.85 examples/s]
Epoch:[1/2](4000/39695), loss: 2.8125, logits_loss: 2.8125, aux_loss: 0.0000, lr: 0.00049719, epoch_time: 83.0min
Epoch:[1/2](4100/39695), loss: 2.8489, logits_loss: 2.8489, aux_loss: 0.0000, lr: 0.00049705, epoch_time: 83.0min
Epoch:[1/2](4200/39695), loss: 2.7577, logits_loss: 2.7577, aux_loss: 0.0000, lr: 0.00049690, epoch_time: 83.0min
Epoch:[1/2](4300/39695), loss: 2.9684, logits_loss: 2.9684, aux_loss: 0.0000, lr: 0.00049675, epoch_time: 83.0min
Epoch:[1/2](4400/39695), loss: 2.8878, logits_loss: 2.8878, aux_loss: 0.0000, lr: 0.00049660, epoch_time: 82.0min
Epoch:[1/2](4500/39695), loss: 3.0210, logits_loss: 3.0210, aux_loss: 0.0000, lr: 0.00049644, epoch_time: 82.0min
Epoch:[1/2](4600/39695), loss: 3.0331, logits_loss: 3.0331, aux_loss: 0.0000, lr: 0.00049628, epoch_time: 82.0min
Epoch:[1/2](4700/39695), loss: 2.7696, logits_loss: 2.7696, aux_loss: 0.0000, lr: 0.00049612, epoch_time: 82.0min
Epoch:[1/2](4800/39695), loss: 2.9300, logits_loss: 2.9300, aux_loss: 0.0000, lr: 0.00049595, epoch_time: 81.0min
Epoch:[1/2](4900/39695), loss: 3.0186, logits_loss: 3.0186, aux_loss: 0.0000, lr: 0.00049578, epoch_time: 81.0min
Epoch:[1/2](5000/39695), loss: 2.8014, logits_loss: 2.8014, aux_loss: 0.0000, lr: 0.00049561, epoch_time: 81.0min
Epoch:[1/2](5100/39695), loss: 2.7859, logits_loss: 2.7859, aux_loss: 0.0000, lr: 0.00049543, epoch_time: 81.0min
Epoch:[1/2](5200/39695), loss: 2.6465, logits_loss: 2.6465, aux_loss: 0.0000, lr: 0.00049525, epoch_time: 80.0min
Epoch:[1/2](5300/39695), loss: 2.6516, logits_loss: 2.6516, aux_loss: 0.0000, lr: 0.00049507, epoch_time: 80.0min
Epoch:[1/2](5400/39695), loss: 2.6837, logits_loss: 2.6837, aux_loss: 0.0000, lr: 0.00049488, epoch_time: 80.0min
Epoch:[1/2](5500/39695), loss: 3.0329, logits_loss: 3.0329, aux_loss: 0.0000, lr: 0.00049469, epoch_time: 80.0min
Epoch:[1/2](5600/39695), loss: 2.7953, logits_loss: 2.7953, aux_loss: 0.0000, lr: 0.00049450, epoch_time: 79.0min
